timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769249184119,2525,Portal:Science,200,OK,Thread Group 3: Custom 3-6,text,true,,340692,845,5,5,https://en.wikipedia.org/wiki/Portal:Science,231,0,0
1769249184119,231,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-6,text,true,,1262,423,5,5,https://www.wikipedia.org/wiki/Portal:Science,231,0,0
1769249184350,2294,Portal:Science-1,200,OK,Thread Group 3: Custom 3-6,text,true,,339430,422,5,5,https://en.wikipedia.org/wiki/Portal:Science,257,0,0
1769249184090,2664,Portal:Science,200,OK,Thread Group 3: Custom 3-3,text,true,,340692,845,4,4,https://en.wikipedia.org/wiki/Portal:Science,254,0,0
1769249184090,254,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-3,text,true,,1262,423,4,4,https://www.wikipedia.org/wiki/Portal:Science,254,0,0
1769249184344,2410,Portal:Science-1,200,OK,Thread Group 3: Custom 3-3,text,true,,339430,422,4,4,https://en.wikipedia.org/wiki/Portal:Science,316,0,0
1769249181664,5475,Portal:Science,200,OK,Thread Group 3: Custom 3-11,text,true,,340692,845,3,3,https://en.wikipedia.org/wiki/Portal:Science,204,0,0
1769249181664,204,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-11,text,true,,1262,423,3,3,https://www.wikipedia.org/wiki/Portal:Science,204,0,0
1769249181868,5271,Portal:Science-1,200,OK,Thread Group 3: Custom 3-11,text,true,,339430,422,3,3,https://en.wikipedia.org/wiki/Portal:Science,456,0,0
1769249183534,3825,Portal:Science,200,OK,Thread Group 3: Custom 3-4,text,true,,340692,845,2,2,https://en.wikipedia.org/wiki/Portal:Science,107,0,0
1769249183534,107,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-4,text,true,,1262,423,2,2,https://www.wikipedia.org/wiki/Portal:Science,107,0,0
1769249183641,3718,Portal:Science-1,200,OK,Thread Group 3: Custom 3-4,text,true,,339430,422,2,2,https://en.wikipedia.org/wiki/Portal:Science,421,0,0
1769249184191,3235,Portal:Science,200,OK,Thread Group 3: Custom 3-8,text,true,,340692,845,1,1,https://en.wikipedia.org/wiki/Portal:Science,152,0,0
1769249184191,152,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-8,text,true,,1262,423,1,1,https://www.wikipedia.org/wiki/Portal:Science,152,0,0
1769249184344,3082,Portal:Science-1,200,OK,Thread Group 3: Custom 3-8,text,true,,339430,422,1,1,https://en.wikipedia.org/wiki/Portal:Science,344,0,0
